Point_ID,Point_Elevation (m), Flight_Altitude (m),GSD (cm),Flight_Speed (m/s),Nadir_Angle (deg),Overlap_Front (%),Overlap_Side (%),Terrain_Type,Land_Cover,Error_X (cm),Error_Y (cm),Error_Z (cm)
D11,384.8135,130,3.66,5,90,80,70,1,3,0.2,-0.2,1.22
B12,358.4024,130,3.66,5,90,80,70,0,3,-0.77,-1.29,-1.82
F12,370.1451,130,3.66,5,90,80,70,0,0,-1,-1.23,-1.04
H12,389.1194,130,3.66,5,90,80,70,1,1,-1.18,-1.3,-1.18
B13,384.5465,130,3.66,5,90,80,70,0,0,0.44,-0.91,2.37
D13,377.724,130,3.66,5,90,80,70,1,1,-0.35,0.58,0.93
A14,391.2985,130,3.66,5,90,80,70,1,1,0.31,0.55,0.18
C14,393.2008,130,3.66,5,90,80,70,0,0,0.91,-1.21,1.82
A15,379.5951,130,3.66,5,90,80,70,0,1,-1.01,-0.55,1.49
D15,372.5182,130,3.66,5,90,80,70,1,1,1.59,1.12,1.73
A16,405.1832,130,3.66,5,90,80,70,1,2,1.45,-0.72,-0.64
A17,407.9915,130,3.66,5,90,80,70,1,2,1.97,-1.55,-0.56
B17,406.0496,130,3.66,5,90,80,70,1,2,0.47,0.32,-2.55
C17,400.3819,130,3.66,5,90,80,70,0,0,1.46,-0.79,1.93
B19,374.0606,130,3.66,5,90,80,70,0,0,0.56,-0.69,2.82
A20,378.3628,130,3.66,5,90,80,70,0,0,1.57,0.18,1.6
SG11,392.1427,130,3.66,5,90,80,70,1,2,0.91,-1.9,-1.47
